category,text_cleaned_string
positive,oh duhi see thank
neutral,says
positive,getting sorted thanks
neutral,mine matter i`m phone
neutral,oh bad hope gets better i`ve sleep issues lately
neutral,said
negative,get guys respond tweets dm really sad feeling ignored
positive,goooooood morning
neutral,nearly finished angels demons awesome book feel lame reading
positive,bad day today bad loved seeing sancha
negative,_simple_girl miss festivities evening heading hill won`t internet bb service
negative,deedee lynn great phx richard p jerk rude us parents reason
positive,first one tell tweet drinking lol
positive,childrens books
neutral,we`re gonna miss dont worry sure
negative,also trying get house ready sell can`t believe much
negative,can`t die lunch date rocio coming plus new shoes ugh
negative,apple named thmost disruptive idea past years businessweek aapl aapl
negative,woman stole seat plane one sit elsewhere standard protocol
negative,college work sucks much
neutral,tooo fly boo
neutral,thanks
positive,wouldnt mind paying snacks tix great job guys
negative,obviously bad
positive,yeay parking space tomorrow thats extra half hour bed mornings apart day fly get
positive,wanna join twit club
neutral,great coverage cyber monday data show top items store like
positive,watched coraline last night really good animation excellent creativity inspirational
positive,wordsday wordshour wordsminute pressure
positive,quick ty sorry hear please follow dm details transpired ^jh
positive,nicely done
neutral,skipping school w carleigh today us barley got hr sleep last nite got new bby kitten shes black
neutral,aaplin emails steve jobs determined keep ipod appleonly
neutral,sky man quite friendlyand likes joey still annoyed got woke half eight though
positive,sure need get together brainstorm blueprints
positive,_dude nice good night
positive,hugs back
positive,exactly ill flying aa dallas airline trust
neutral,left comment blog post
neutral,past
positive,great thanks links perfectly look connectivism syephen downes
negative,last trip poor customer service trips row come
negative,going dance recital feel like piece cuz cost much money
neutral,iscuba degree camera rig cloud mobile gamed surface imask underwaterwearables cardboard pivot
positive,roxy right palmade stuffs pretty cool
negative,yepused twice case id numbers assigned tried againget screen says thank submitting request
positive,thank address
positive,it`s nice inside
neutral,waiting raimi`s new horror flick drag hell i`m really excited bad it`s amcmain kc
neutral,everybody needs time thier guns n roses x zkz
negative,want kiss nose tell love sad
positive,join next generation web trendone outernet thinktank april th p
negative,skin burning much
negative,happy mother`s day every mommy
positive,hey nph whats strippers youre following
negative,k member broken seat back broken tv broken light lost bag gee thnx ua awesome job
positive,hope today flows lots nice things happen work come home happy
neutral,renegades last day today andwell he`s gone didn`t catch gutted closest came greenock kilmacolm
neutral,yesssssssssss rocket moon going warped
neutral,aaplexchange iphone passport receive
negative,already vomit halfway
neutral,oh referring lil exchange lj regards twitter archive postings
negative,poor customer service displayed weekend storm stuck tarmac hours answer
positive,won`t make u cry
neutral,finally seventeen
negative,someone stole new laptop airport haven`t even used guess us economy breeding new set opportinists
neutral,everything okay
negative,know make late night calls india team members pictures struggling message thanks
positive,great locals stop ask directions even better know answer
neutral,ohhh mannnn laid girls economy improve soon
neutral,yeah _liljess_x ones care
neutral,bird poo update managed clean slight stainage remains tips
positive,great thanks
negative,im still melting im house shade fair
neutral,requested date guest honour
positive,fell austin taura hanafiah even morreee shoott guy shouldn`t look yumm hahaha
negative,fyi continuous texts emails getting delay held captive tarmac helpful
positive,going downstairs coffee socialising wow gives time french later
negative,useless tweet lol jk yay you`re coming tmr long u gnna phils
neutral,reasons celebrate uncelebrated
neutral,bihar extension impacts privacy rights
neutral,rain please come
negative,isnt funny apologizes doesnt actually take steps go amp beyond customers notimpressed
neutral,ahead elections
negative,likely flightaware says plane still durango hasnt departed
neutral,tuesday wednesday thursday friday exam wow
neutral,operated ber newark zurich replacing ber maysep instead till oct avgeek
positive,woooooooooo coming nottingham point lovelovelove
negative,still flight ive allll day boarding waiting catering
negative,darn i`m craving wedding cake craving that`s hard satisfy anything else
neutral,getting kids ready school deciding workout du jour
positive,hey dasit thanks message
positive,enjoy hanami picnic cherry tree park hope weather stays nice
positive,another sunny day south netherlands
neutral,apple warming social media apple hiring social media guru la finally tweether
negative,tummy kinda hurts
neutral,ua needs deicing stat weve waited turn
neutral,marks end roommate era never made empanadas
positive,almost died laptop screen set brightness reinstalled windows vista got headache insanedefaults
neutral,noticed girls welcome adulthood
positive,wish playing prom
negative,tv boring
positive,long farewell super amazing day i`m going sleep
negative,grouchy flight complimentarybeveragesneeded
positive,congratulations winning indie award
neutral,last night newport
negative,yes rebooked next day weds thanks upset lost additional work days paid hotel losing
negative,idea caused delay flight fll gt jax
positive,get tiks destinationdragons omg id love plz im dying
positive,thnx ^lo
neutral,history
neutral,awake
negative,yes quite unsure aswell haha
positive,see next tweet different things keeping calm
positive,funny need old promote new applesetsthetrend
positive,yes sound like distinct advantage fortunately enjoy female
positive,gooood party last night although extremely tired xd bed lounge around watch tv sleep day
positive,saturday partytiiime
neutral,beach sea really flat
neutral,canadian flag emoji keyboard
neutral,aw i`m gonna miss old username nick jonas shontelle layne sean kingston replied old username i`m gonna start
neutral,flights id love redeem points theyre little year old historical limit
